"id","name_zh","name_en","expansion","type","lvl","boss_count","mech_count","avg_mech_chars","bilingual_pct","desc_bilingual_pct","role_tips","mnemonic_count","grade"
"aac_cruiserweight_m1","阿卡狄亞登天鬥技場 中量級1","AAC Cruiserweight M1","7.x 黃金的遺產 (Dawntrail)","raid","100","1","14","25.1","100","100","4","5","fair"
"aac_cruiserweight_m1_savage","阿卡狄亞零式登天鬥技場 中量級1","AAC Cruiserweight M1 (Savage)","7.x 黃金的遺產 (Dawntrail)","raid","100","1","25","38.6","96","100","5","6","good"
"aac_cruiserweight_m2","阿卡狄亞登天鬥技場 中量級2","AAC Cruiserweight M2","7.x 黃金的遺產 (Dawntrail)","raid","100","1","7","29.4","85.7","100","4","5","fair"
"aac_cruiserweight_m2_savage","阿卡狄亞零式登天鬥技場 中量級2","AAC Cruiserweight M2 (Savage)","7.x 黃金的遺產 (Dawntrail)","raid","100","1","14","48.9","100","100","4","6","excellent"
"aac_cruiserweight_m3","阿卡狄亞登天鬥技場 中量級3","AAC Cruiserweight M3","7.x 黃金的遺產 (Dawntrail)","raid","100","1","11","22.9","63.6","100","4","5","fair"
"aac_cruiserweight_m3_savage","阿卡狄亞零式登天鬥技場 中量級3","AAC Cruiserweight M3 (Savage)","7.x 黃金的遺產 (Dawntrail)","raid","100","1","22","33.8","86.4","100","8","6","good"
"aac_cruiserweight_m4","阿卡狄亞登天鬥技場 中量級4","AAC Cruiserweight M4","7.x 黃金的遺產 (Dawntrail)","raid","100","1","10","27.5","90","100","4","5","fair"
"aac_cruiserweight_m4_savage","阿卡狄亞零式登天鬥技場 中量級4","AAC Cruiserweight M4 (Savage)","7.x 黃金的遺產 (Dawntrail)","raid","100","1","21","46.9","100","100","10","6","excellent"
"aac_heavyweight_m1","AAC 重量級 M1","AAC Heavyweight M1","7.x 黃金的遺產 (Dawntrail)","raid","100","1","11","107","72.7","0","5","3","fair"
"aac_heavyweight_m2","阿卡狄亞登天鬥技場 重量級2","AAC Heavyweight M2","7.x 黃金的遺產 (Dawntrail)","raid","100","1","14","39.3","100","100","5","5","good"
"aac_heavyweight_m3","阿卡狄亞登天鬥技場 重量級3","AAC Heavyweight M3","7.x 黃金的遺產 (Dawntrail)","raid","100","1","21","42.2","100","100","7","6","excellent"
"aac_heavyweight_m4","阿卡狄亞登天鬥技場 重量級4","AAC Heavyweight M4","7.x 黃金的遺產 (Dawntrail)","raid","100","1","13","34.7","100","100","4","6","good"
